2020-12-15 00:20:32,398 | pymorphy2.opencorpora_dict.wrapper | INFO | Loading dictionaries from C:\Users\PS42\anaconda3\lib\site-packages\pymorphy2_dicts\data
2020-12-15 00:20:32,463 | pymorphy2.opencorpora_dict.wrapper | INFO | format: 2.4, revision: 393442, updated: 2015-01-17T16:03:56.586168
2020-12-15 00:20:37,817 | source.corpora | INFO | read_corpora function was called.
2020-12-15 00:20:37,818 | source.corpora | INFO | __init__ function was called.
2020-12-15 00:20:45,670 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-15 00:20:46,009 | source.corpora | INFO | clean_texts function was called.
2020-12-15 00:20:57,580 | source.corpora | INFO | delete_stopwords function was called.
2020-12-15 00:21:20,338 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-15 00:21:20,606 | source.corpora | INFO | clean_texts function was called.
2020-12-15 00:21:31,328 | source.corpora | INFO | delete_stopwords function was called.
2020-12-15 00:21:35,293 | source.word2vec | INFO | calc_context function was called.
2020-12-15 00:21:35,293 | source.word2vec | INFO | __init__ function was called.
